Trip_ID,Port,Net_treatment,Year,Date_setting,Date_pulling,Sample_herring_FK_cm,Sample_herring_wt_g,Total_Catch_number,Total_catch_Weigth_kg
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25.5,165,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,160,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,28,210,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,26,170,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,28,230,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,28.5,220,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,28,210,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,160,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,27,190,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,26,175,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,24.5,150,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,170,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,23,115,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,150,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,26.5,190,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,165,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,27,200,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25.5,170,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,25,165,,
MH_1,Musgrave_Harbour,12_night,2024,5/16/2024,17-May,26.5,175,,
MH_2,Musgrave_Harbour,24hr,2024,5/17/2024 ,18-May,26,160,,
MH_2,Musgrave_Harbour,24hr,2024,5/17/2024 ,18-May,27.5,165,,
MH_2,Musgrave_Harbour,24hr,2024,5/17/2024,18-May,26,160,,
MH_2,Musgrave_Harbour,24hr,2024,5/17/2024,18-May,26,170,,
